City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City Desc
310,Itatskiy,56.07,89.0369,42.75,72,41,1.41,RU,2022-09-10 19:59:51,scattered clouds
311,Orotukan,62.2667,151.7,43.32,88,100,2.1,RU,2022-09-10 20:02:55,overcast clouds
312,San Rafael Del Sur,11.8485,-86.4384,81.68,81,99,4.36,NI,2022-09-10 20:02:55,overcast clouds
313,Tigil,57.8,158.6667,47.57,92,100,12.86,RU,2022-09-10 20:02:55,overcast clouds
314,Merritt,50.1123,-120.7942,80.29,20,0,2.46,CA,2022-09-10 20:02:56,clear sky
315,Camacha,33.0833,-16.3333,72.82,83,40,9.22,PT,2022-09-10 20:02:56,scattered clouds
316,Kirkland Lake,48.1446,-80.0377,81.27,40,57,7.85,CA,2022-09-10 20:02:56,broken clouds
317,Sehithwa,-20.4667,22.7167,71.2,13,0,8.43,BW,2022-09-10 20:02:56,clear sky
318,Isabela,6.7085,121.9711,76.68,84,72,3.02,PH,2022-09-10 20:02:57,broken clouds
319,Omsukchan,62.5333,155.8,42.46,95,100,1.05,RU,2022-09-10 20:02:57,light rain
320,East London,-33.0153,27.9116,66.15,85,95,5.17,ZA,2022-09-10 19:59:53,overcast clouds
321,Norman,35.2226,-97.4395,90.9,44,0,1.99,US,2022-09-10 20:01:51,clear sky
322,Plerin,48.5425,-2.7798,62.44,93,100,3.44,FR,2022-09-10 20:02:58,overcast clouds
323,Porbandar,21.6422,69.6093,79.36,83,100,4.99,IN,2022-09-10 19:59:34,moderate rain
324,Swellendam,-34.0226,20.4417,52.52,83,0,3.18,ZA,2022-09-10 20:02:58,clear sky
325,Ponta Delgada,37.7333,-25.6667,72.5,94,40,19.57,PT,2022-09-10 20:02:59,moderate rain
326,Khromtau,50.2503,58.4347,44.87,82,100,22.39,KZ,2022-09-10 20:02:59,light rain
327,Anadyr,64.75,177.4833,44.01,81,87,8.01,RU,2022-09-10 20:02:59,overcast clouds
328,Igarka,67.4667,86.5833,37.54,90,100,8.59,RU,2022-09-10 20:03:01,overcast clouds
329,Beyneu,45.3167,55.2,58.48,41,2,8.34,KZ,2022-09-10 20:03:01,clear sky
330,Mangrol,21.1167,70.1167,79.45,84,100,8.19,IN,2022-09-10 20:03:01,heavy intensity rain
331,Kamaishi,39.2667,141.8833,63.37,89,80,7.54,JP,2022-09-10 20:03:02,broken clouds
332,Bisira,8.5196,-81.7115,62.44,96,100,2.89,PA,2022-09-10 20:03:02,overcast clouds
333,Fort Morgan,40.2503,-103.8,53.02,82,75,9.22,US,2022-09-10 20:00:30,broken clouds
334,Malinovka,53.8579,27.4374,51.3,84,100,15.99,BY,2022-09-10 20:03:02,overcast clouds
335,Katsuura,35.1333,140.3,73.78,86,100,20.85,JP,2022-09-10 20:03:03,overcast clouds
